Element ID,Step 1 : R,Step 2 : R,Step 3 : R,Step 4 : R,Step 5 : R,Step 6 : R,Step 7 : R,Step 8 : R,Step 9 : R,Step 10 : R,Step 11 : R,Step 12 : R,Step 13 : R,Step 14 : R,Step 15 : R,Step 16 : R,Step 17 : R,Step 18 : R,Step 19 : R,Step 20 : R,Step 21 : R,Position X,Position Y,Position Z
9059,4.93843663E-1,4.82745690E-1,4.72330705E-1,4.64262650E-1,4.62801804E-1,4.74676924E-1,5.00176314E-1,5.34040126E-1,5.52604786E-1,5.50649575E-1,5.40436423E-1,5.27106123E-1,5.11718669E-1,4.95329824E-1,4.82239352E-1,4.80021788E-1,4.89094573E-1,5.04112762E-1,5.09795565E-1,5.04386881E-1,4.93847680E-1,123.097,3.12615,0
9060,5.11719878E-1,4.99517728E-1,4.88060045E-1,4.79169191E-1,4.77568016E-1,4.90675025E-1,5.18702676E-1,5.54713568E-1,5.73716682E-1,5.71796846E-1,5.61433289E-1,5.47775563E-1,5.31471427E-1,5.13372937E-1,4.98983034E-1,4.96544346E-1,5.06515497E-1,5.23003072E-1,5.29307132E-1,5.23302990E-1,5.11724319E-1,123.398,2.79192,0
9061,3.49275005E-1,3.41506687E-1,3.34039988E-1,3.28219114E-1,3.27109558E-1,3.35465025E-1,3.53216439E-1,3.75882534E-1,3.88159430E-1,3.86964455E-1,3.80357000E-1,3.71499781E-1,3.61272836E-1,3.49962826E-1,3.40864380E-1,3.39323015E-1,3.45690813E-1,3.56140913E-1,3.60098235E-1,3.56493773E-1,3.49275977E-1,121.919,1.56531,0
9062,3.69266714E-1,3.60800389E-1,3.52694755E-1,3.46370643E-1,3.45182760E-1,3.54332558E-1,3.73713266E-1,3.97763744E-1,4.10330236E-1,4.09150486E-1,4.02436682E-1,3.93347206E-1,3.82454981E-1,3.70138278E-1,3.60199028E-1,3.58507558E-1,3.65447141E-1,3.76832384E-1,3.81125584E-1,3.77164638E-1,3.69268397E-1,122.335,1.22855,0
9063,4.26737479E-1,4.17366312E-1,4.08477390E-1,4.01554630E-1,4.00274391E-1,4.10359408E-1,4.31873637E-1,4.59743746E-1,4.74929173E-1,4.73385146E-1,4.65104896E-1,4.54133280E-1,4.41532614E-1,4.27837077E-1,4.16803174E-1,4.14933729E-1,4.22606378E-1,4.35268926E-1,4.40013313E-1,4.35567305E-1,4.26740059E-1,122.513,2.40234,0
9064,4.22307122E-1,4.13079106E-1,4.04345940E-1,3.97553044E-1,3.96299255E-1,4.06205995E-1,4.27391970E-1,4.54885180E-1,4.69900150E-1,4.68368788E-1,4.60171258E-1,4.49335467E-1,4.36910702E-1,4.23413436E-1,4.12545245E-1,4.10702989E-1,4.18257440E-1,4.30728531E-1,4.35409661E-1,4.31014406E-1,4.22309810E-1,122.033,2.17486,0
9065,-1.07285754E-1,-1.02990180E-1,-9.86157463E-2,-9.51521421E-2,-9.43349322E-2,-9.86212704E-2,-1.08029705E-1,-1.19366119E-1,-1.25071900E-1,-1.24910722E-1,-1.22240650E-1,-1.18062127E-1,-1.12777768E-1,-1.06608058E-1,-1.01746227E-1,-1.01006071E-1,-1.04526953E-1,-1.10232722E-1,-1.12542929E-1,-1.10928738E-1,-1.07281429E-1,106.369,59.6041,0
9066,-1.13784675E-1,-1.09526640E-1,-1.05218416E-1,-1.01815044E-1,-1.01002511E-1,-1.05188093E-1,-1.14592751E-1,-1.26501008E-1,-1.32350669E-1,-1.32188637E-1,-1.29373528E-1,-1.24897092E-1,-1.19308975E-1,-1.13155451E-1,-1.08306710E-1,-1.07562267E-1,-1.11066903E-1,-1.16760717E-1,-1.19058350E-1,-1.17429322E-1,-1.13780514E-1,106.561,60.1042,0
9067,-2.25358187E-2,-1.93013037E-2,-1.56901921E-2,-1.27458562E-2,-1.19577277E-2,-1.51333767E-2,-2.18320148E-2,-3.03632686E-2,-3.49352530E-2,-3.49634306E-2,-3.30318908E-2,-2.98475456E-2,-2.56949465E-2,-2.10632598E-2,-1.75506610E-2,-1.71187052E-2,-1.97385598E-2,-2.40032513E-2,-2.58675649E-2,-2.49586996E-2,-2.25278124E-2,106.766,59.129,0
9068,-2.85357365E-2,-2.53202120E-2,-2.16988453E-2,-1.87415333E-2,-1.79538506E-2,-2.11522657E-2,-2.76385600E-2,-3.57592458E-2,-4.01736971E-2,-4.02215933E-2,-3.84193400E-2,-3.54008560E-2,-3.14102764E-2,-2.69618100E-2,-2.35566323E-2,-2.31314813E-2,-2.57306755E-2,-2.98343590E-2,-3.16518322E-2,-3.08437558E-2,-2.85275863E-2,107.297,59.1728,0
9069,1.07964932E-1,1.10497717E-1,1.13483157E-1,1.15965157E-1,1.16762098E-1,1.14643996E-1,1.09805445E-1,1.03455438E-1,9.99657898E-2,9.96599373E-2,1.00874198E-1,1.03267134E-1,1.06510744E-1,1.10073172E-1,1.12665553E-1,1.12891867E-1,1.10840085E-1,1.07584766E-1,1.06011626E-1,1.06386442E-1,1.07975125E-1,108.583,58.4718,0
9070,3.55863132E-2,3.85106660E-2,4.17881611E-2,4.44758640E-2,4.52480639E-2,4.25601463E-2,3.66341509E-2,2.90481136E-2,2.54305275E-2,2.51601532E-2,2.64770964E-2,2.92834844E-2,3.30592570E-2,3.72093541E-2,4.03377186E-2,4.06992581E-2,3.83229277E-2,3.45082865E-2,3.27923385E-2,3.34989927E-2,3.55948423E-2,108.261,59.2811,0
9071,4.43708442E-2,4.71538895E-2,5.03456366E-2,5.29824013E-2,5.37761813E-2,5.12982729E-2,4.56199650E-2,3.80913502E-2,3.43060949E-2,3.40748706E-2,3.54985155E-2,3.83575066E-2,4.20607384E-2,4.61469633E-2,4.91589660E-2,4.94660011E-2,4.72028876E-2,4.34503886E-2,4.17415326E-2,4.23946253E-2,4.43804351E-2,108.158,58.8345,0
9078,1.58505308E+0,1.58684980E+0,1.59359099E+0,1.59836009E+0,1.59891675E+0,1.59683983E+0,1.59284774E+0,1.59074612E+0,1.59180858E+0,1.58874444E+0,1.58270101E+0,1.58539946E+0,1.59305319E+0,1.59889336E+0,1.60074000E+0,1.60044506E+0,1.59678162E+0,1.59349245E+0,1.59400284E+0,1.59144099E+0,1.58536141E+0,130.382,14.6484,0
9079,1.55702081E+0,1.55899992E+0,1.56606741E+0,1.57010180E+0,1.57034108E+0,1.56846960E+0,1.56465031E+0,1.56237501E+0,1.56357436E+0,1.56051016E+0,1.55444206E+0,1.55742039E+0,1.56552816E+0,1.57061573E+0,1.57195953E+0,1.57161471E+0,1.56844276E+0,1.56543334E+0,1.56595212E+0,1.56352866E+0,1.55736337E+0,130.918,14.7641,0
9080,1.50134540E+0,1.50295143E+0,1.50861098E+0,1.51151562E+0,1.51164661E+0,1.51019472E+0,1.50733218E+0,1.50551063E+0,1.50643538E+0,1.50404429E+0,1.49943127E+0,1.50175601E+0,1.50815154E+0,1.51192215E+0,1.51287033E+0,1.51256351E+0,1.51010242E+0,1.50796935E+0,1.50826861E+0,1.50639515E+0,1.50159245E+0,130.033,14.9464,0
9081,9.84787753E-1,9.86717141E-1,9.89738447E-1,9.93035725E-1,9.96382775E-1,9.99414987E-1,1.00258916E+0,1.00408847E+0,1.00200364E+0,9.99341879E-1,9.98582955E-1,9.97169038E-1,9.95516545E-1,9.94414591E-1,9.93767349E-1,9.92651192E-1,9.92778439E-1,9.92391262E-1,9.88787305E-1,9.85050716E-1,9.84681349E-1,120.76,52.6721,0
9082,1.02319542E+0,1.02520445E+0,1.02825121E+0,1.03157923E+0,1.03500057E+0,1.03813685E+0,1.04134465E+0,1.04293140E+0,1.04091761E+0,1.03820312E+0,1.03733982E+0,1.03570620E+0,1.03380434E+0,1.03252209E+0,1.03169814E+0,1.03048331E+0,1.03060866E+0,1.03031460E+0,1.02683837E+0,1.02324418E+0,1.02308994E+0,120.238,52.5052,0
9083,1.01234599E+0,1.01436843E+0,1.01744682E+0,1.02080824E+0,1.02395021E+0,1.02675593E+0,1.02986905E+0,1.03140059E+0,1.02943374E+0,1.02679879E+0,1.02603374E+0,1.02455637E+0,1.02283149E+0,1.02166550E+0,1.02093017E+0,1.01973808E+0,1.01988115E+0,1.01959533E+0,1.01609359E+0,1.01243863E+0,1.01223894E+0,120.085,52.0726,0
9088,1.37659152E+0,1.37774945E+0,1.38122490E+0,1.38352742E+0,1.38340206E+0,1.38189019E+0,1.37945148E+0,1.37822410E+0,1.37887426E+0,1.37764636E+0,1.37471211E+0,1.37677514E+0,1.38089768E+0,1.38389808E+0,1.38458540E+0,1.38428272E+0,1.38200518E+0,1.38006080E+0,1.38041500E+0,1.37943459E+0,1.37677512E+0,128.839,15,0
9089,1.44512927E+0,1.44619881E+0,1.44962493E+0,1.45190621E+0,1.45204811E+0,1.45088806E+0,1.44879917E+0,1.44764294E+0,1.44818350E+0,1.44675805E+0,1.44378510E+0,1.44541095E+0,1.44937124E+0,1.45220093E+0,1.45302662E+0,1.45278581E+0,1.45079912E+0,1.44911069E+0,1.44933126E+0,1.44817457E+0,1.44529352E+0,128.267,15.0147,0
9090,1.35910644E+0,1.35980404E+0,1.36183949E+0,1.36319333E+0,1.36311186E+0,1.36217791E+0,1.36070608E+0,1.35992988E+0,1.36031868E+0,1.35962979E+0,1.35798961E+0,1.35911134E+0,1.36156859E+0,1.36341565E+0,1.36395058E+0,1.36375995E+0,1.36228110E+0,1.36114938E+0,1.36138155E+0,1.36080620E+0,1.35920819E+0,127.764,14.4546,0
9091,1.48512566E+0,1.48603781E+0,1.49039084E+0,1.49362894E+0,1.49396404E+0,1.49246960E+0,1.48968553E+0,1.48824002E+0,1.48896611E+0,1.48699692E+0,1.48378844E+0,1.48520381E+0,1.48991756E+0,1.49397789E+0,1.49526575E+0,1.49509409E+0,1.49254293E+0,1.49030326E+0,1.49069198E+0,1.48899966E+0,1.48528040E+0,127.889,13.8414,0
9092,1.43739070E+0,1.43852108E+0,1.44181535E+0,1.44426963E+0,1.44421920E+0,1.44270817E+0,1.44026223E+0,1.43914582E+0,1.43972446E+0,1.43856943E+0,1.43592940E+0,1.43784419E+0,1.44158747E+0,1.44471361E+0,1.44551581E+0,1.44516111E+0,1.44269570E+0,1.44068872E+0,1.44099342E+0,1.43995469E+0,1.43757045E+0,129.998,15.4693,0
9093,1.33129610E+0,1.33218421E+0,1.33451405E+0,1.33609674E+0,1.33577759E+0,1.33443811E+0,1.33244162E+0,1.33164683E+0,1.33204159E+0,1.33155758E+0,1.33054128E+0,1.33179217E+0,1.33435104E+0,1.33654644E+0,1.33702706E+0,1.33659834E+0,1.33441722E+0,1.33276289E+0,1.33303103E+0,1.33251770E+0,1.33137801E+0,129.291,16.1206,0
9094,1.47810137E+0,1.47903104E+0,1.48162712E+0,1.48356685E+0,1.48361731E+0,1.48249960E+0,1.48076126E+0,1.47993371E+0,1.48028856E+0,1.47933640E+0,1.47697282E+0,1.47863237E+0,1.48155172E+0,1.48387469E+0,1.48446848E+0,1.48418877E+0,1.48231962E+0,1.48078701E+0,1.48091551E+0,1.48010337E+0,1.47825631E+0,129.338,15.5556,0
9095,1.50637625E+0,1.50744885E+0,1.51053163E+0,1.51337487E+0,1.51342401E+0,1.51173029E+0,1.50913303E+0,1.50813997E+0,1.50862416E+0,1.50758229E+0,1.50544241E+0,1.50702926E+0,1.51037367E+0,1.51387125E+0,1.51484370E+0,1.51444434E+0,1.51161496E+0,1.50939485E+0,1.50965160E+0,1.50859871E+0,1.50652233E+0,130.552,16.0099,0
9096,1.01216435E+0,1.01368786E+0,1.01590483E+0,1.01834548E+0,1.02090302E+0,1.02332443E+0,1.02595041E+0,1.02729456E+0,1.02570983E+0,1.02344692E+0,1.02266760E+0,1.02119946E+0,1.01950919E+0,1.01836581E+0,1.01765665E+0,1.01676999E+0,1.01701823E+0,1.01703167E+0,1.01460751E+0,1.01203896E+0,1.01208175E+0,117.676,51.9575,0
9097,9.47234773E-1,9.48712536E-1,9.50917214E-1,9.53381324E-1,9.56011741E-1,9.58428951E-1,9.60922485E-1,9.62156385E-1,9.60619179E-1,9.58518049E-1,9.57828840E-1,9.56459200E-1,9.54870277E-1,9.53824116E-1,9.53237637E-1,9.52403379E-1,9.52664604E-1,9.52600505E-1,9.50007691E-1,9.47264312E-1,9.47146805E-1,117.875,51.3641,0
9098,9.70971590E-1,9.72696196E-1,9.75286595E-1,9.78158151E-1,9.81188106E-1,9.83960523E-1,9.86829146E-1,9.88241501E-1,9.86447403E-1,9.83985795E-1,9.83178604E-1,9.81654408E-1,9.79903959E-1,9.78747349E-1,9.78074457E-1,9.77087396E-1,9.77329776E-1,9.77195276E-1,9.74202894E-1,9.71039008E-1,9.70873709E-1,118.59,51.1306,0
9099,9.36295131E-1,9.38043957E-1,9.40708527E-1,9.43677757E-1,9.46877682E-1,9.49827321E-1,9.52914415E-1,9.54387872E-1,9.52388475E-1,9.49753082E-1,9.48962626E-1,9.47458168E-1,9.45728673E-1,9.44601754E-1,9.43986694E-1,9.43001154E-1,9.43250000E-1,9.43046313E-1,9.39852743E-1,9.36480302E-1,9.36191619E-1,119.078,51.429,0
9100,9.23448344E-1,9.25379309E-1,9.28413828E-1,9.31733744E-1,9.35280835E-1,9.38536860E-1,9.41651245E-1,9.43086521E-1,9.41020829E-1,9.38321857E-1,9.37539953E-1,9.36098821E-1,9.34435246E-1,9.33355583E-1,9.32810161E-1,9.31776979E-1,9.31989814E-1,9.31606251E-1,9.27867388E-1,9.23892138E-1,9.23333484E-1,120.316,51.6022,0
9101,9.64928414E-1,9.66891745E-1,9.69908387E-1,9.73231794E-1,9.76806761E-1,9.80114322E-1,9.83444304E-1,9.85036224E-1,9.82883208E-1,9.79988275E-1,9.79112290E-1,9.77493505E-1,9.75634846E-1,9.74414248E-1,9.73719001E-1,9.72599909E-1,9.72804606E-1,9.72504397E-1,9.68925913E-1,9.65161773E-1,9.64817135E-1,119.788,51.1976,0
9102,8.74656072E-1,8.76673352E-1,8.79835635E-1,8.83323527E-1,8.87051237E-1,8.90460757E-1,8.94028374E-1,8.95638852E-1,8.93207580E-1,8.90208307E-1,8.89398724E-1,8.87894614E-1,8.86163762E-1,8.85067562E-1,8.84571030E-1,8.83547674E-1,8.83830325E-1,8.83455885E-1,8.79481443E-1,8.75214582E-1,8.74529455E-1,120.029,50.6844,0
9103,9.57607861E-1,9.59794568E-1,9.63238736E-1,9.66931399E-1,9.70787575E-1,9.74280813E-1,9.77743269E-1,9.79296586E-1,9.76912167E-1,9.73932588E-1,9.73134069E-1,9.71743199E-1,9.70141743E-1,9.69104727E-1,9.68573528E-1,9.67433630E-1,9.67552154E-1,9.66969896E-1,9.62748573E-1,9.58240576E-1,9.57482837E-1,121.066,51.4107,0
9104,1.49608472E+0,1.49722903E+0,1.50196099E+0,1.50592182E+0,1.50628615E+0,1.50427715E+0,1.50084708E+0,1.49915934E+0,1.50008967E+0,1.49799485E+0,1.49362739E+0,1.49593326E+0,1.50135871E+0,1.50639602E+0,1.50810168E+0,1.50789549E+0,1.50456656E+0,1.50180166E+0,1.50235418E+0,1.50044856E+0,1.49628003E+0,129.388,13.0702,0
9105,1.42536387E+0,1.42631137E+0,1.43024877E+0,1.43302144E+0,1.43309567E+0,1.43158424E+0,1.42889503E+0,1.42755018E+0,1.42827279E+0,1.42667809E+0,1.42378716E+0,1.42537105E+0,1.42975930E+0,1.43338059E+0,1.43437901E+0,1.43417119E+0,1.43177655E+0,1.42967128E+0,1.43010971E+0,1.42872981E+0,1.42551951E+0,128.572,13.7405,0
9106,1.55347847E+0,1.55444255E+0,1.55814847E+0,1.56100193E+0,1.56140467E+0,1.56019465E+0,1.55791027E+0,1.55673286E+0,1.55729887E+0,1.55556442E+0,1.55142342E+0,1.55352673E+0,1.55780657E+0,1.56129081E+0,1.56247606E+0,1.56233813E+0,1.56017203E+0,1.55828318E+0,1.55855808E+0,1.55704988E+0,1.55364026E+0,128.727,13.1248,0
9107,1.60040969E+0,1.60141650E+0,1.60550279E+0,1.60919528E+0,1.60975724E+0,1.60817774E+0,1.60531487E+0,1.60386973E+0,1.60456647E+0,1.60262343E+0,1.59908283E+0,1.60070256E+0,1.60512964E+0,1.60958515E+0,1.61115405E+0,1.61096670E+0,1.60810638E+0,1.60568703E+0,1.60600665E+0,1.60410988E+0,1.60057515E+0,129.922,13.588,0
9108,1.53745926E+0,1.53903477E+0,1.54499863E+0,1.54969560E+0,1.55018465E+0,1.54810734E+0,1.54410568E+0,1.54220641E+0,1.54318890E+0,1.54051373E+0,1.53523968E+0,1.53763871E+0,1.54444700E+0,1.55021385E+0,1.55202456E+0,1.55175525E+0,1.54816825E+0,1.54485110E+0,1.54544748E+0,1.54310734E+0,1.53772833E+0,129.902,14.0738,0
9109,1.46505688E+0,1.46646820E+0,1.47149785E+0,1.47458000E+0,1.47470056E+0,1.47316466E+0,1.47014168E+0,1.46848438E+0,1.46934773E+0,1.46725429E+0,1.46321692E+0,1.46529331E+0,1.47101448E+0,1.47498859E+0,1.47602101E+0,1.47574115E+0,1.47319520E+0,1.47087954E+0,1.47129252E+0,1.46954799E+0,1.46527300E+0,129.553,14.3718,0
9110,1.49639307E+0,1.49767422E+0,1.50228132E+0,1.50522543E+0,1.50542474E+0,1.50406461E+0,1.50132198E+0,1.49984033E+0,1.50057724E+0,1.49861027E+0,1.49482839E+0,1.49669542E+0,1.50188127E+0,1.50558581E+0,1.50657835E+0,1.50633076E+0,1.50400421E+0,1.50184950E+0,1.50219124E+0,1.50052701E+0,1.49659163E+0,129.019,14.339,0
9111,1.02069133E+0,1.02217754E+0,1.02432925E+0,1.02670006E+0,1.02919245E+0,1.03155140E+0,1.03412230E+0,1.03544200E+0,1.03390211E+0,1.03171781E+0,1.03097366E+0,1.02954954E+0,1.02789126E+0,1.02675614E+0,1.02604272E+0,1.02516223E+0,1.02539324E+0,1.02539749E+0,1.02303717E+0,1.02054986E+0,1.02061111E+0,118.587,53.3764,0
9112,1.05686289E+0,1.05833358E+0,1.06041953E+0,1.06270151E+0,1.06509011E+0,1.06737741E+0,1.06989002E+0,1.07122229E+0,1.06976659E+0,1.06759635E+0,1.06680208E+0,1.06530915E+0,1.06358447E+0,1.06239241E+0,1.06161655E+0,1.06073863E+0,1.06098913E+0,1.06108238E+0,1.05890663E+0,1.05660595E+0,1.05678690E+0,118.042,52.9966,0
9113,9.85651193E-1,9.87151363E-1,9.89353785E-1,9.91792066E-1,9.94363726E-1,9.96796334E-1,9.99425759E-1,1.00074700E+0,9.99133542E-1,9.96899597E-1,9.96175178E-1,9.94764290E-1,9.93125937E-1,9.92023846E-1,9.91365206E-1,9.90500370E-1,9.90749456E-1,9.90723964E-1,9.88228557E-1,9.85591024E-1,9.85566461E-1,118.217,52.3863,0
9114,1.00632838E+0,1.00802765E+0,1.01053834E+0,1.01330226E+0,1.01614032E+0,1.01877468E+0,1.02156281E+0,1.02296699E+0,1.02126304E+0,1.01888449E+0,1.01810043E+0,1.01659371E+0,1.01484455E+0,1.01366076E+0,1.01292977E+0,1.01193633E+0,1.01215977E+0,1.01207222E+0,1.00925656E+0,1.00628691E+0,1.00623585E+0,118.903,52.0913,0
9115,9.90053489E-1,9.91763018E-1,9.94315093E-1,9.97122739E-1,9.99955431E-1,1.00255873E+0,1.00532509E+0,1.00669902E+0,1.00498413E+0,1.00263934E+0,1.00189324E+0,1.00044930E+0,9.98769136E-1,9.97637269E-1,9.96957041E-1,9.95973516E-1,9.96194714E-1,9.96068762E-1,9.93157151E-1,9.90080865E-1,9.89958675E-1,119.382,52.3303,0
9116,9.99238664E-1,1.00093548E+0,1.00345796E+0,1.00623444E+0,1.00930795E+0,1.01219704E+0,1.01504467E+0,1.01646625E+0,1.01471159E+0,1.01229882E+0,1.01146775E+0,1.00988804E+0,1.00805392E+0,1.00682079E+0,1.00606364E+0,1.00506112E+0,1.00526765E+0,1.00513567E+0,1.00224851E+0,9.99227219E-1,9.99145231E-1,119.536,52.7628,0
9117,1.06489686E+0,1.06658554E+0,1.06898952E+0,1.07165142E+0,1.07445054E+0,1.07709896E+0,1.07997702E+0,1.08148771E+0,1.07981336E+0,1.07733121E+0,1.07645985E+0,1.07480104E+0,1.07286931E+0,1.07153131E+0,1.07062825E+0,1.06956945E+0,1.06977415E+0,1.06978560E+0,1.06726186E+0,1.06462472E+0,1.06481191E+0,119.308,53.195,0
9123,1.49776752E+0,1.49916936E+0,1.50319894E+0,1.50642783E+0,1.50636749E+0,1.50440936E+0,1.50121980E+0,1.49988290E+0,1.50057830E+0,1.49921813E+0,1.49645788E+0,1.49847103E+0,1.50296114E+0,1.50700425E+0,1.50799909E+0,1.50752959E+0,1.50435672E+0,1.50170045E+0,1.50207123E+0,1.50077685E+0,1.49797571E+0,131.204,16.0144,0
9124,1.55560684E+0,1.55715687E+0,1.56157953E+0,1.56437002E+0,1.56417931E+0,1.56245838E+0,1.55948850E+0,1.55802070E+0,1.55878237E+0,1.55727747E+0,1.55426966E+0,1.55646588E+0,1.56140965E+0,1.56492093E+0,1.56559093E+0,1.56508481E+0,1.56229999E+0,1.55985881E+0,1.56018783E+0,1.55889172E+0,1.55583391E+0,131.64,16.6751,0
9125,1.61369261E+0,1.61516688E+0,1.62017985E+0,1.62312323E+0,1.62321848E+0,1.62174757E+0,1.61896271E+0,1.61737695E+0,1.61819944E+0,1.61614018E+0,1.61217220E+0,1.61433978E+0,1.61993360E+0,1.62357202E+0,1.62445381E+0,1.62408509E+0,1.62156296E+0,1.61929030E+0,1.61960474E+0,1.61795595E+0,1.61392379E+0,131.382,15.4223,0
9126,1.61244679E+0,1.61389850E+0,1.61814812E+0,1.62070002E+0,1.62051424E+0,1.61888240E+0,1.61620029E+0,1.61481309E+0,1.61556418E+0,1.61408895E+0,1.61118026E+0,1.61320950E+0,1.61799225E+0,1.62123025E+0,1.62187509E+0,1.62139116E+0,1.61873749E+0,1.61653142E+0,1.61683802E+0,1.61565195E+0,1.61267064E+0,132.023,15.5152,0
9127,1.65936957E+0,1.66086776E+0,1.66505411E+0,1.66753870E+0,1.66720872E+0,1.66551590E+0,1.66276107E+0,1.66139167E+0,1.66214936E+0,1.66083816E+0,1.65839978E+0,1.66031467E+0,1.66497846E+0,1.66812288E+0,1.66859329E+0,1.66801674E+0,1.66529882E+0,1.66301987E+0,1.66331897E+0,1.66223524E+0,1.65960124E+0,132.436,16.1793,0
9128,1.56283115E+0,1.56442195E+0,1.56831931E+0,1.57047812E+0,1.56999495E+0,1.56828015E+0,1.56558582E+0,1.56423630E+0,1.56495966E+0,1.56388767E+0,1.56157787E+0,1.56380435E+0,1.56824008E+0,1.57106946E+0,1.57139389E+0,1.57079619E+0,1.56813973E+0,1.56593434E+0,1.56623467E+0,1.56536350E+0,1.56305762E+0,132.23,16.7471,0
9129,9.97513862E-1,9.99778375E-1,9.95056291E-1,9.85966023E-1,9.83148552E-1,9.89224758E-1,9.96051024E-1,1.00070972E+0,1.00582818E+0,1.01287769E+0,1.02071067E+0,1.02258470E+0,1.01335081E+0,9.96911665E-1,9.83919569E-1,9.80735708E-1,9.82016913E-1,9.84143644E-1,9.86846455E-1,9.91514382E-1,9.97461775E-1,123.44,60.1657,0
9130,1.52522456E+0,1.52246158E+0,1.52242484E+0,1.52597520E+0,1.50621837E+0,1.44811323E+0,1.43155750E+0,1.49282535E+0,1.52431686E+0,1.53041743E+0,1.52102496E+0,1.51987977E+0,1.52112305E+0,1.52522131E+0,1.50985324E+0,1.45602917E+0,1.44273547E+0,1.50316378E+0,1.53239884E+0,1.53698052E+0,1.52558371E+0,136.986,9.61561,0
9185,9.22759204E-1,9.24913747E-1,9.28406122E-1,9.32144800E-1,9.36091149E-1,9.39653052E-1,9.43235733E-1,9.44773941E-1,9.42213837E-1,9.39149531E-1,9.38381302E-1,9.37123268E-1,9.35685705E-1,9.34769338E-1,9.34388334E-1,9.33330260E-1,9.33475780E-1,9.32812192E-1,9.28390133E-1,9.23637573E-1,9.22630295E-1,121.634,51.7323,0
9186,9.34302098E-1,9.36789337E-1,9.40942333E-1,9.45306045E-1,9.49931353E-1,9.54074717E-1,9.58196750E-1,9.59811120E-1,9.56628934E-1,9.53065167E-1,9.52277673E-1,9.51269674E-1,9.50157849E-1,9.49486540E-1,9.49363034E-1,9.48255187E-1,9.48297292E-1,9.47176325E-1,9.41730082E-1,9.35855724E-1,9.34152137E-1,122.341,51.3772,0
9187,9.69609631E-1,9.71638488E-1,9.74881538E-1,9.78323223E-1,9.81871839E-1,9.85053434E-1,9.88305913E-1,9.89699141E-1,9.87355848E-1,9.84619317E-1,9.83973002E-1,9.82908967E-1,9.81666912E-1,9.80868797E-1,9.80483638E-1,9.79452016E-1,9.79471011E-1,9.78757651E-1,9.74687893E-1,9.70375897E-1,9.69494417E-1,122.095,52.5739,0
9188,1.00119132E+0,1.00335280E+0,1.00675860E+0,1.01038978E+0,1.01406735E+0,1.01735729E+0,1.02074358E+0,1.02226905E+0,1.01992699E+0,1.01709111E+0,1.01639171E+0,1.01512162E+0,1.01362103E+0,1.01263895E+0,1.01206215E+0,1.01086491E+0,1.01084912E+0,1.01017203E+0,1.00602078E+0,1.00170525E+0,1.00107453E+0,121.491,52.3333,0
9189,9.01310198E-1,9.03628774E-1,9.07658278E-1,9.11892146E-1,9.16448422E-1,9.20561927E-1,9.24640827E-1,9.26185600E-1,9.22965443E-1,9.19418759E-1,9.18610719E-1,9.17737715E-1,9.16818414E-1,9.16264973E-1,9.16302837E-1,9.15340380E-1,9.15460945E-1,9.14351274E-1,9.08944740E-1,9.03063519E-1,9.01162977E-1,122.887,51.6076,0
9190,9.81388684E-1,9.83847993E-1,9.87750389E-1,9.91774059E-1,9.95971851E-1,9.99661865E-1,1.00335109E+0,1.00471064E+0,1.00173481E+0,9.98589310E-1,9.98056102E-1,9.97408462E-1,9.96660982E-1,9.96264611E-1,9.96234322E-1,9.95194871E-1,9.95025670E-1,9.93715673E-1,9.88577309E-1,9.83023071E-1,9.81247598E-1,122.784,52.2033,0
9207,8.67864867E-3,8.67042011E-3,8.67872523E-3,8.68610265E-3,8.69369308E-3,8.70780207E-3,8.74136692E-3,8.78536711E-3,8.80892572E-3,8.71085744E-3,8.76674278E-3,8.74191767E-3,8.72513458E-3,8.72419000E-3,8.71028322E-3,8.62510452E-3,8.70840943E-3,8.71989097E-3,8.71829316E-3,8.68547944E-3,8.67819061E-3,55.965,27.661,0
9208,8.81489582E-3,8.80456950E-3,8.81246885E-3,8.81911296E-3,8.82671276E-3,8.84256156E-3,8.87979695E-3,8.92905112E-3,8.95552769E-3,8.86639073E-3,8.91024323E-3,8.88308202E-3,8.86577273E-3,8.86166153E-3,8.84588987E-3,8.76292932E-3,8.84478826E-3,8.85830012E-3,8.85742553E-3,8.82417111E-3,8.81433592E-3,56.9178,28.6506,0
9209,9.73683161E-3,9.72632717E-3,9.73554433E-3,9.74334434E-3,9.75180107E-3,9.76846664E-3,9.80786907E-3,9.85977442E-3,9.88760753E-3,9.78357510E-3,9.83889894E-3,9.81001673E-3,9.79100786E-3,9.78821463E-3,9.77170128E-3,9.67671218E-3,9.77004074E-3,9.78394518E-3,9.78257467E-3,9.74574226E-3,9.73621611E-3,56.3508,28.4633,0
9210,8.88593830E-3,8.87032802E-3,8.87581853E-3,8.87992296E-3,8.88724332E-3,8.90787511E-3,8.95524322E-3,9.01902506E-3,9.05379933E-3,8.98076064E-3,9.00046249E-3,8.96726794E-3,8.94704610E-3,8.93479187E-3,8.91381678E-3,8.84332633E-3,8.91513851E-3,8.93447761E-3,8.93572580E-3,8.90170373E-3,8.88488262E-3,62.3175,4.04111,0
