Element ID,Step 1 : R,Step 2 : R,Step 3 : R,Step 4 : R,Step 5 : R,Step 6 : R,Step 7 : R,Step 8 : R,Step 9 : R,Step 10 : R,Step 11 : R,Step 12 : R,Step 13 : R,Step 14 : R,Step 15 : R,Step 16 : R,Step 17 : R,Step 18 : R,Step 19 : R,Step 20 : R,Step 21 : R,Position X,Position Y,Position Z
43,-2.04102398E-1,-2.03552669E-1,-2.02331377E-1,-2.01187339E-1,-2.00546472E-1,-2.00319627E-1,-2.00296713E-1,-2.00359595E-1,-2.00724372E-1,-2.01517329E-1,-2.02196814E-1,-2.02141587E-1,-2.01610906E-1,-2.01074971E-1,-2.00935548E-1,-2.01184457E-1,-2.01638068E-1,-2.02126812E-1,-2.02735216E-1,-2.03564930E-1,-2.04088467E-1,104.77,33.1684,0
50,-1.05864105E-1,-1.05540748E-1,-1.04895693E-1,-1.04305277E-1,-1.03970730E-1,-1.03832731E-1,-1.03777393E-1,-1.03822279E-1,-1.04164185E-1,-1.04669911E-1,-1.05021770E-1,-1.04977997E-1,-1.04697860E-1,-1.04419104E-1,-1.04339249E-1,-1.04443550E-1,-1.04621941E-1,-1.04837703E-1,-1.05198217E-1,-1.05637797E-1,-1.05857159E-1,115.513,64.3706,0
130,-2.82570944E-5,-2.82181638E-5,-2.82449559E-5,-2.82628504E-5,-2.82867021E-5,-2.83409720E-5,-2.84671360E-5,-2.86347591E-5,-2.87251042E-5,-2.83555582E-5,-2.85759048E-5,-2.84877704E-5,-2.84205658E-5,-2.84076176E-5,-2.83537493E-5,-2.80755316E-5,-2.83517737E-5,-2.83992419E-5,-2.83969709E-5,-2.82931426E-5,-2.82554386E-5,42.8145,0.322479,0
131,-2.84154114E-5,-2.83785153E-5,-2.83985099E-5,-2.84166638E-5,-2.84405899E-5,-2.84973038E-5,-2.86282456E-5,-2.88018547E-5,-2.88973216E-5,-2.87440130E-5,-2.87423947E-5,-2.86490493E-5,-2.86020860E-5,-2.85674669E-5,-2.85108123E-5,-2.83241671E-5,-2.85101670E-5,-2.85603653E-5,-2.85589149E-5,-2.84522727E-5,-2.84115737E-5,37.2397,21.128,0
133,-1.00123448E-2,-1.00059861E-2,-1.00196253E-2,-1.00367090E-2,-1.00520895E-2,-1.00810817E-2,-1.01323418E-2,-1.02026459E-2,-1.02342399E-2,-1.02140429E-2,-1.01652608E-2,-1.01373978E-2,-1.01203697E-2,-1.01004487E-2,-1.00782480E-2,-1.00728531E-2,-1.00720999E-2,-1.00891119E-2,-1.00839902E-2,-1.00504943E-2,-1.00128260E-2,90.8181,0.328479,0
134,1.14549153E-3,1.14384111E-3,1.14465042E-3,1.14532365E-3,1.14627529E-3,1.14862530E-3,1.15407707E-3,1.16133384E-3,1.16525369E-3,1.15452458E-3,1.15898281E-3,1.15508593E-3,1.15268613E-3,1.15160365E-3,1.14923358E-3,1.13922362E-3,1.14925940E-3,1.15138302E-3,1.15141693E-3,1.14706356E-3,1.14540803E-3,63.1939,0.328479,0
137,1.13872943E-3,1.13727892E-3,1.13829655E-3,1.13912991E-3,1.14011599E-3,1.14225413E-3,1.14725014E-3,1.15390588E-3,1.15749033E-3,1.14678557E-3,1.15141764E-3,1.14771641E-3,1.14557732E-3,1.14485295E-3,1.14271883E-3,1.13261248E-3,1.14261329E-3,1.14446089E-3,1.14439047E-3,1.14010828E-3,1.13865373E-3,54.8918,31.3125,0
138,-1.00406997E-2,-1.00334599E-2,-1.00461934E-2,-1.00625802E-2,-1.00778076E-2,-1.01077002E-2,-1.01609342E-2,-1.02338383E-2,-1.02668819E-2,-1.02472367E-2,-1.01970840E-2,-1.01681920E-2,-1.01499816E-2,-1.01287202E-2,-1.01054990E-2,-1.00999285E-2,-1.00999258E-2,-1.01181357E-2,-1.01134929E-2,-1.00796374E-2,-1.00411727E-2,78.815,45.1246,0
402,4.40428476E-2,4.28780048E-2,4.18012799E-2,4.09773360E-2,4.08320321E-2,4.20657837E-2,4.47480050E-2,4.83502910E-2,5.03571760E-2,5.01541903E-2,4.90335411E-2,4.76017491E-2,4.59756103E-2,4.42309357E-2,4.28570436E-2,4.26210597E-2,4.35685509E-2,4.51581314E-2,4.57632215E-2,4.51735376E-2,4.40435735E-2,95.6071,1.11812,0
403,-2.54366404E-2,-2.42277919E-2,-2.30651019E-2,-2.21620157E-2,-2.19744821E-2,-2.32013403E-2,-2.58992010E-2,-2.95302446E-2,-3.15741269E-2,-3.14198579E-2,-3.03390543E-2,-2.88902246E-2,-2.72213612E-2,-2.54294829E-2,-2.40377751E-2,-2.38149945E-2,-2.47992035E-2,-2.64315450E-2,-2.70807496E-2,-2.65404113E-2,-2.54365006E-2,83.352,46.8347,0
404,4.65951702E-1,4.56042766E-1,4.46141891E-1,4.38297352E-1,4.36730133E-1,4.47724964E-1,4.70223556E-1,4.98489111E-1,5.13430588E-1,5.12151054E-1,5.04274732E-1,4.93352277E-1,4.80474367E-1,4.66305078E-1,4.54816916E-1,4.52837530E-1,4.60997166E-1,4.74121331E-1,4.79142143E-1,4.74802653E-1,4.65950330E-1,125.58,0.633763,0
405,-2.01521409E-1,-1.96944976E-1,-1.92292742E-1,-1.88656608E-1,-1.87820908E-1,-1.92418286E-1,-2.02389702E-1,-2.14616908E-1,-2.20761007E-1,-2.20478725E-1,-2.17505761E-1,-2.13072961E-1,-2.07352137E-1,-2.00899963E-1,-1.95751520E-1,-1.94941474E-1,-1.98689590E-1,-2.04653191E-1,-2.07055585E-1,-2.05352567E-1,-2.01517621E-1,109.072,62.2411,0
406,1.49874543E+0,1.49959803E+0,1.50250892E+0,1.50587399E+0,1.50866233E+0,1.51135978E+0,1.51406559E+0,1.51594973E+0,1.51403144E+0,1.50734813E+0,1.50321424E+0,1.49923030E+0,1.49605397E+0,1.49463635E+0,1.49435038E+0,1.49472504E+0,1.49628627E+0,1.49857749E+0,1.49914416E+0,1.49836260E+0,1.49872626E+0,120.096,62.0562,0
407,1.89518865E+0,1.89775200E+0,1.90375867E+0,1.91002028E+0,1.91475166E+0,1.91102425E+0,1.89948717E+0,1.89147525E+0,1.89311152E+0,1.89556359E+0,1.89477862E+0,1.89735303E+0,1.90295939E+0,1.90885223E+0,1.91306063E+0,1.90968650E+0,1.89878431E+0,1.89056135E+0,1.89286934E+0,1.89586291E+0,1.89526697E+0,135.034,6.30584,0
408,1.84657763E-3,1.84081017E-3,1.84072662E-3,1.84034333E-3,1.84169030E-3,1.84822771E-3,1.86282529E-3,1.88296571E-3,1.89401571E-3,1.88714328E-3,1.87924050E-3,1.86971279E-3,1.86380249E-3,1.85753271E-3,1.85070180E-3,1.84457150E-3,1.85217448E-3,1.85896398E-3,1.86031719E-3,1.85289593E-3,1.84609093E-3,58.6402,1.16624,0
409,1.69957788E-3,1.70061489E-3,1.70342424E-3,1.70613537E-3,1.70779519E-3,1.70825242E-3,1.70995038E-3,1.71149719E-3,1.71218816E-3,1.68366819E-3,1.70780432E-3,1.70515969E-3,1.70402195E-3,1.70765916E-3,1.70747399E-3,1.68386799E-3,1.70587776E-3,1.70528819E-3,1.70384776E-3,1.69782439E-3,1.69969304E-3,51.3668,28.3134,0
729,5.07198280E-1,4.96619064E-1,4.85891760E-1,4.77372331E-1,4.75655852E-1,4.87551183E-1,5.11566708E-1,5.41661301E-1,5.58144300E-1,5.56728135E-1,5.48053916E-1,5.36117896E-1,5.22427485E-1,5.07459802E-1,4.95243839E-1,4.93083151E-1,5.01849505E-1,5.15740238E-1,5.21053367E-1,5.16519527E-1,5.07196183E-1,125.981,1.19645,0
